"","Date","forecast","actual","error"
"1",2017-05-01,9.48957913688749,4.21099366624442,-5.27858547064308
"2",2017-05-02,9.47572956802392,4.33331417294486,-5.14241539507906
"3",2017-05-03,9.02675287855465,4.16824903910927,-4.85850383944537
"4",2017-05-04,9.14924441033045,4.40598911598053,-4.74325529434991
"5",2017-05-05,9.12788281225478,4.16790998670209,-4.95997282555269
"6",2017-05-06,9.07404474333303,4.19687718776592,-4.87716755556711
"7",2017-05-07,8.93518885974498,4.78912701274465,-4.14606184700034
"8",2017-05-08,5.44900335001227,5.14999685172508,-0.299006498287193
"9",2017-05-09,5.57625561429874,5.13639710358707,-0.439858510711674
"10",2017-05-10,5.46032527240529,5.30628533530011,-0.154039937105179
"11",2017-05-11,5.46230662626237,5.0057825084761,-0.456524117786273
"12",2017-05-12,5.48761241579083,4.60531990779801,-0.882292507992823
"13",2017-05-13,5.36214035568801,4.45129431517417,-0.910846040513843
"14",2017-05-14,5.32847424131863,4.33199076996024,-0.996483471358396
"15",2017-05-15,6.46081337278352,3.98543150836342,-2.4753818644201
"16",2017-05-16,6.58399495229747,3.96659698769434,-2.61739796460313
"17",2017-05-17,8.68566088700475,4.0780692286788,-4.60759165832595
"18",2017-05-18,8.60652555854729,4.03502369038449,-4.5715018681628
"19",2017-05-19,8.69484180678319,5.38982179515373,-3.30502001162946
"20",2017-05-20,8.5256701351928,5.07143605154143,-3.45423408365137
"21",2017-05-21,8.58862039725247,4.77852116741812,-3.81009922983435
"22",2017-05-22,6.0020811405582,4.73543947402467,-1.26664166653353
"23",2017-05-23,6.08126966813878,4.8110043161027,-1.27026535203609
"24",2017-05-24,6.37972505389946,4.72852397081448,-1.65120108308498
"25",2017-05-25,6.27652379214982,5.54624205314932,-0.730281739000493
"26",2017-05-26,6.32733966655148,5.55214268889738,-0.775196977654099
"27",2017-05-27,6.21999236245482,5.49917127378559,-0.720821088669235
"28",2017-05-28,6.12736378799841,5.50723757188274,-0.620126216115669
"29",2017-05-29,6.40153393283317,5.68185856613212,-0.719675366701047
"30",2017-05-30,6.43655119067237,5.57290988084155,-0.863641309830819
"31",2017-05-31,8.71517450049888,5.47347709037423,-3.24169741012465
"32",2017-06-01,9.01049288284141,5.31479892314429,-3.69569395969712
"33",2017-06-02,8.91135230542552,5.66961500929275,-3.24173729613278
"34",2017-06-03,8.82813566951819,5.50644580854933,-3.32168986096886
"35",2017-06-04,8.82547757966873,5.46033014386538,-3.36514743580335
"36",2017-06-05,7.92811923221896,5.41790373235615,-2.51021549986281
"37",2017-06-06,8.03329787050005,5.27487143376766,-2.75842643673239
"38",2017-06-07,7.54044320378203,5.98008171906625,-1.56036148471578
"39",2017-06-08,7.7185051243005,6.17367518154095,-1.54482994275955
"40",2017-06-09,7.75059801872834,6.51738116701767,-1.23321685171066
"41",2017-06-10,7.73505910634456,6.50079067365626,-1.2342684326883
"42",2017-06-11,7.65168072821578,6.20472741976376,-1.44695330845202
"43",2017-06-12,8.13917640166358,7.61154922618266,-0.527627175480919
"44",2017-06-13,8.1727210487636,8.46822528808805,0.295504239324451
"45",2017-06-14,6.45821303100294,8.444367265041,1.98615423403806
"46",2017-06-15,6.48078479744546,9.31681788383772,2.83603308639226
"47",2017-06-16,6.50880700710078,9.06587245313071,2.55706544602993
"48",2017-06-17,6.58791537889965,9.29020265688025,2.7022872779806
"49",2017-06-18,6.42839405466126,9.25498644432983,2.82659238966857
"50",2017-06-19,5.23683321712631,9.14178752878344,3.90495431165713
"51",2017-06-20,5.22667825273875,8.70404452648077,3.47736627374201
"52",2017-06-21,6.52784147598201,8.59732096436231,2.0694794883803
"53",2017-06-22,6.57509798953077,8.34793528721332,1.77283729768255
"54",2017-06-23,6.55912714725271,7.78970046423626,1.23057331698354
"55",2017-06-24,6.42723671441855,7.54972442709736,1.12248771267881
"56",2017-06-25,6.37794033442093,7.14654647292957,0.76860613850864
"57",2017-06-26,7.27935854536143,7.0260227550952,-0.253335790266224
"58",2017-06-27,7.33102794846761,7.78954093468759,0.458512986219977
"59",2017-06-28,7.68050646303801,7.95677765991258,0.276271196874575
"60",2017-06-29,7.70956599067304,8.38103544711958,0.671469456446534
"61",2017-06-30,7.6494238786536,9.27215261135001,1.62272873269641
"62",2017-07-01,7.77004593610933,9.64558040244201,1.87553446633268
"63",2017-07-02,7.59528675091728,9.40913397024665,1.81384721932937
"64",2017-07-03,9.75023737090411,9.19240325262692,-0.557834118277198
"65",2017-07-04,9.91835725868946,8.90901099241676,-1.0093462662727
"66",2017-07-05,11.5903272621257,8.91389011302342,-2.67643714910231
"67",2017-07-06,11.6747462254219,8.75597890398155,-2.91876732144035
"68",2017-07-07,11.61150894961,8.32270059166302,-3.28880835794699
"69",2017-07-08,11.6015764758613,8.29848454432998,-3.30309193153134
