"","Date","sales","units","users","orders","mean.sales","mean.units","mean.users","mean.orders","variation.sales","growth.sales","growth.units","growth.users","growth.orders","users.CI.upper","users.CI.lower","sales.CI.upper","sales.CI.lower"
"1",2017-05-01,5.74,5,23,5,4.21099366624442,2.82283878274978,16.8108272914041,2.21726882098559,1.33657516212108,NA,NA,NA,NA,24.1967037774015,10.7939214258875,9.73120306451122,1.06347166130797
"2",2017-05-02,2.27,2,30,2,4.33331417294486,2.9970116801298,17.3059611080918,2.43988731530674,0.539065166066731,NA,NA,NA,NA,24.9093758003121,11.1118376961569,10.0138740405323,1.09436327568287
"3",2017-05-03,7.14,5,20,5,4.16824903910927,2.91725074571942,18.3214842194444,2.4046963300822,1.64769959320714,NA,NA,NA,NA,26.3710713777254,11.7638863122127,9.63242432496971,1.05267665584506
"4",2017-05-04,1.43,1,25,1,4.40598911598053,3.08387068606186,18.4557654818889,2.61232062367563,0.343069712625803,NA,NA,NA,NA,26.5643494284663,11.8501058284013,10.1818188736131,1.11271707731054
"5",2017-05-05,4.53,3,9,3,4.16790998670209,2.91716103117691,18.9793042433378,2.48333497378158,1.02814598056307,NA,NA,NA,NA,27.3179061753876,12.1862603885862,9.63164080732867,1.05259102935039
"6",2017-05-06,11.6,6,21,4,4.19687718776592,2.92378814868276,18.1809599038708,2.52466817587905,2.78316951110037,NA,NA,NA,NA,26.1688073737881,11.6736582470238,9.6985812347205,1.05990659424561
"7",2017-05-07,9.3,6,27,6,4.78912701274465,3.16988509678814,18.4064831115611,2.64269472180873,2.21593331992413,NA,NA,NA,NA,26.4934147328919,11.8184625294857,11.067213858889,1.20947720754962
"8",2017-05-08,4.98,4,22,4,5.14999685172508,3.39629428904509,19.0939644626362,2.91127914406403,1.03985548655264,NA,NA,NA,NA,27.482942631555,12.2598815957004,11.9011494952986,1.30061361800135
"9",2017-05-09,7.26,5,20,5,5.13639710358707,3.44459074592148,19.3264473056253,2.99837681253891,1.40970959964143,NA,NA,NA,NA,27.8175673580854,12.4091545313265,11.8697217798361,1.29717904937171
"10",2017-05-10,1.55,1,15,1,5.30628533530011,3.56902348624776,19.3803315211753,3.15850666753579,0.301767945262164,NA,NA,NA,NA,27.8951257303975,12.443752589986,12.2623172126724,1.34008372563964
"11",2017-05-11,0,0,9,0,5.0057825084761,3.36350160734794,19.0299049994813,2.98582613413293,0,NA,NA,NA,NA,27.3907384926848,12.2187501986613,11.5678839598454,1.26419279209775
"12",2017-05-12,2.68,2,18,2,4.60531990779801,3.09442147876011,18.2275125995228,2.7469600434023,0.535380831161174,NA,NA,NA,NA,26.2358131057015,11.7035488722929,10.6424532430577,1.16305736872993
"13",2017-05-13,2.96,2,13,2,4.45129431517417,3.0068677604593,18.2093115915609,2.68720323993011,0.64273493682555,NA,NA,NA,NA,26.2096154421084,11.6918623415585,10.286514849949,1.12415874625404
"14",2017-05-14,0,0,17,0,4.33199076996024,2.92631833962256,17.7925666642361,2.6322269807357,0,NA,NA,NA,NA,25.609772651363,11.4242781279914,10.0108157829807,1.09402905490692
"15",2017-05-15,3.75,3,16,2,3.98543150836342,2.69221287245275,17.7291613310972,2.42164882227685,0.865652813945036,NA,NA,NA,NA,25.518510036069,11.3835667357429,9.20995052034224,1.00650673051437
"16",2017-05-16,5.36,5,16,3,3.96659698769434,2.71683584265653,17.5908284246094,2.3879169164947,1.34489828485374,NA,NA,NA,NA,25.3194002419506,11.2947457338159,9.16642574690867,1.00175013846665
"17",2017-05-17,3.54,2,18,2,4.0780692286788,2.89948897524401,17.4635621506407,2.43688356317512,0.892452651726963,NA,NA,NA,NA,25.1362192313617,11.2130304120431,9.42402741982766,1.02990206143432
"18",2017-05-18,20.97,4,8,4,4.03502369038449,2.82752985722449,17.5064771785894,2.40193287812111,5.1421392880066,NA,NA,NA,NA,25.1979890777158,11.2405853581287,9.32455330341641,1.01903106191496
"19",2017-05-19,1.41,1,14,1,5.38982179515373,2.92132746864653,16.7459590043023,2.52977824787143,0.349440327540095,NA,NA,NA,NA,24.103335455882,10.7522706979446,12.4553619708829,1.3611805651938
"20",2017-05-20,1.41,1,17,1,5.07143605154143,2.76762127115481,16.5262822839581,2.40739598804171,0.261604196500115,NA,NA,NA,NA,23.7871432520827,10.6112203369249,11.7196030100531,1.28077336382222
"21",2017-05-21,4.24,3,16,2,4.77852116741812,2.62621156946242,16.5641797012414,2.29480430899837,0.83605510488716,NA,NA,NA,NA,23.8416909887311,10.6355535679617,11.0427047660897,1.20679873856037
"22",2017-05-22,5.68,5,27,5,4.73543947402467,2.65611464390543,16.5190453251421,2.2712199642785,1.18865226311616,NA,NA,NA,NA,23.7767267183998,10.6065736194572,10.943147098707,1.19591860819771
"23",2017-05-23,3.78,3,19,2,4.8110043161027,2.84362547239299,17.3575216991308,2.48952236713622,0.79823636660007,NA,NA,NA,NA,24.9835896582223,11.1449437984742,11.1177702117014,1.21500224367913
"24",2017-05-24,14.95,11,26,4,4.72852397081448,2.85613543460156,17.4889199632003,2.45036057776533,3.10745927829695,NA,NA,NA,NA,25.1727180584754,11.2293121947035,10.9271660331046,1.19417212214937
"25",2017-05-25,5.62,3,18,2,5.54624205314932,3.50764459983343,18.1698063661443,2.5743317315441,1.18853156602101,NA,NA,NA,NA,26.152753503044,11.6664967666425,12.8168342063222,1.40068395199921
"26",2017-05-26,4.89,3,13,3,5.55214268889738,3.46703303184676,18.1562218568527,2.52838519302057,0.881678071952037,NA,NA,NA,NA,26.1332006076634,11.6577744043601,12.8304700104162,1.40217413683422
"27",2017-05-27,5.6,4,16,2,5.49917127378559,3.42967038929902,17.7437241083045,2.56611437757893,1.00861961116351,NA,NA,NA,NA,25.5394710036736,11.3929172257689,12.7080581433077,1.38879639198451
"28",2017-05-28,7.69,5,18,5,5.50723757188274,3.4752967581551,17.6042261796402,2.52082522737261,1.39839252446237,NA,NA,NA,NA,25.3386843321469,11.3033481846399,12.7266985856791,1.39083350723993
"29",2017-05-29,4.32,3,26,3,5.68185856613212,3.59727301750269,17.6358880852689,2.7191592091828,0.784422306757893,NA,NA,NA,NA,25.3842569704381,11.3236777089177,13.1302309794676,1.43493342606485
"30",2017-05-30,4.33,4,23,4,5.57290988084155,3.54949117610247,18.3050170384474,2.74162647244818,0.762074583448777,NA,NA,NA,NA,26.3473693020496,11.7533130397196,12.8784610020694,1.40741881822489
"31",2017-05-31,3.49,2,20,2,5.47347709037423,3.58553188201427,18.6806156753716,2.84229635465232,0.626243753195769,NA,NA,NA,NA,26.8879880829884,11.9944779808824,12.648681346245,1.3823074162025
"32",2017-06-01,9.75,6,25,6,5.31479892314429,3.45868933145313,18.7861664213419,2.77491264628014,1.78131740372981,NA,NA,NA,NA,27.0399127973082,12.0622501635774,12.2819912988111,1.34223380234978
"33",2017-06-02,3.63,3,25,3,5.66961500929275,3.66199418493688,19.2832731076346,3.03291963457773,0.682998557893222,NA,NA,NA,NA,27.7554244747222,12.3814331769482,13.1019372922101,1.4318413587847
"34",2017-06-03,4.93,3,16,3,5.50644580854933,3.60903465014193,19.7406112590238,3.03028606381151,0.86954757808414,NA,NA,NA,NA,28.413695217943,12.6750815492493,12.7248688964449,1.39063355019076
"35",2017-06-04,4.93,3,18,3,5.46033014386538,3.56031187813058,19.4413623583019,3.02786317870659,0.89531435909996,NA,NA,NA,NA,27.9829706092747,12.4829393622418,12.6183000119815,1.37898720103406
"36",2017-06-05,3.63,3,20,2,5.41790373235615,3.51548692788013,19.3260533696377,3.02563412441006,0.664794967402889,NA,NA,NA,NA,27.8170003453957,12.4089015923115,12.5202566382751,1.36827255980989
"37",2017-06-06,14.09,11,34,8,5.27487143376766,3.47424797364972,19.3799691000667,2.94358339445726,2.6006368322592,NA,NA,NA,NA,27.8946040787229,12.4435198860922,12.1897226948247,1.33215025513393
"38",2017-06-07,8.4,5,18,5,5.98008171906625,4.07630813575774,20.5495715720614,3.34809672290068,1.59245587413306,NA,NA,NA,NA,29.5780741460552,13.1945000111863,13.8193961242656,1.51024863597211
"39",2017-06-08,10.47,5,19,4,6.17367518154095,4.15020348489713,20.3456058462965,3.48024898506862,1.75081219485991,NA,NA,NA,NA,29.2844955992338,13.0635373893404,14.2667720750785,1.55913998501561
"40",2017-06-09,6.31,4,18,3,6.51738116701767,4.21818720610536,20.2379573785928,3.52182906626313,1.02208163119217,NA,NA,NA,NA,29.129551524206,12.9944182983005,15.0610436898693,1.64594172454481
"41",2017-06-10,2.8,2,15,2,6.50079067365626,4.20073222961693,20.0589207883053,3.48008274096208,0.429620414741105,NA,NA,NA,NA,28.8718547871325,12.8794622134854,15.0227046486272,1.64175185371256
"42",2017-06-11,23.79,5,19,3,6.20472741976376,4.02467365124757,19.6542071252409,3.36167612168512,3.65955484406018,NA,NA,NA,NA,28.2893292248811,12.6196030522808,14.3385308236551,1.56698211872264
"43",2017-06-12,18.32,13,22,9,7.61154922618266,4.10269975914777,19.6018705552216,3.33274203195031,2.95258739999533,NA,NA,NA,NA,28.2139984598016,12.5859987082056,17.5895612831842,1.92227002514472
"44",2017-06-13,8.17,7,26,5,8.46822528808805,4.81448377841595,19.7937209108039,3.78612266939428,1.07336887106981,NA,NA,NA,NA,28.4901387200722,12.7091822748313,19.569257616079,2.13862055591382
"45",2017-06-14,19.35,13,36,11,8.444367265041,4.98932507614267,20.2902232379396,3.88323285584274,2.28501242488423,NA,NA,NA,NA,29.204780511713,13.0279772403601,19.5141240097642,2.13259529598319
"46",2017-06-15,6.18,4,24,3,9.31681788383772,5.63017907005126,21.5470053789044,4.45257422737532,0.731848794116843,NA,NA,NA,NA,31.0137328405019,13.8349338192293,21.5302738328631,2.3529296356946
"47",2017-06-16,11.87,8,21,6,9.06587245313071,5.49976474444716,21.7432449485921,4.3363682891853,1.27404014417749,NA,NA,NA,NA,31.2961907264125,13.9609356190897,20.9503629762175,2.2895542484954
"48",2017-06-17,8.85,6,23,5,9.29020265688025,5.69978356489138,21.6837853527047,4.46945882605047,0.976188452435578,NA,NA,NA,NA,31.2106074173063,13.9227577117863,21.4687685923762,2.34620805359975
"49",2017-06-18,7.84,5,23,5,9.25498644432983,5.72380087970007,21.7890825244883,4.51190211996644,0.843899782336154,NA,NA,NA,NA,31.3621671490245,13.9903670791839,21.3873872979235,2.33731432280025
"50",2017-06-19,3.67,3,20,3,9.14178752878344,5.66589680932407,21.8859559225293,4.55094995036912,0.396542990319393,NA,NA,NA,NA,31.5016021022053,14.0525676971896,21.1257954454602,2.30872633423609
"51",2017-06-20,7.37,6,24,3,8.70404452648077,5.45262506457814,21.7350794487269,4.42687395433959,0.806188065167248,NA,NA,NA,NA,31.2844376949877,13.95569270258,20.1142132909624,2.19817587636757
"52",2017-06-21,5.48,4,21,4,8.59732096436231,5.49641505941189,21.9162730928288,4.31272403799242,0.629592367470997,NA,NA,NA,NA,31.5452391925394,14.0720337917723,19.8675853601089,2.17122321557004
"53",2017-06-22,1.37,1,30,1,8.34793528721332,5.37670185465894,21.8429712454025,4.28770611495303,0.159351966232148,NA,NA,NA,NA,31.4397320061431,14.0249680306544,19.2912789445541,2.10824173865403
"54",2017-06-23,4.79,3,21,2,7.78970046423626,5.02656570628623,22.4955335457703,4.02468962575679,0.573794577365367,NA,NA,NA,NA,32.37899908709,14.4439662199504,18.0012517323033,1.9672614946441
"55",2017-06-24,2.51,2,22,2,7.54972442709736,4.86444044978333,22.3758908621087,3.86271445569625,0.322220348718645,NA,NA,NA,NA,32.2067911091296,14.3671458645782,17.4466900936252,1.90665638926577
"56",2017-06-25,5.64,4,23,4,7.14654647292957,4.63528521380066,22.34581959314,3.71369729924055,0.747047134562554,NA,NA,NA,NA,32.163507957454,14.3478376586941,16.5149844549796,1.80483521291051
